DD,EE,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx,AApqr_BBhpt_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCbt
DDmx,EEksy,-92.11,74.70,-20.28,-77.39,-39.06
,EEkqy,-89.94,78.24,-11.12,-74.99,94.87
,EEmz,-0.28,55.69,99.82,40.02,79.29
,EEbhk,-96.41,-59.44,-22.11,48.17,-43.53
,EEqz,13.73,-70.67,-27.85,43.58,-44.59
DDcjx,EEhq,-93.11,-54.94,-19.25,-78.39,89.69
,EEdhv,17.29,-62.98,-22.77,43.22,83.40
,EEkqy,10.30,55.39,-27.21,-84.45,-54.80
,EEcrv,-87.63,80.16,-8.03,-77.32,-29.98
,EEbkv,38.65,77.83,-14.25,-77.43,93.91
DDcy,EEmz,37.89,-52.64,-22.70,-76.34,92.40
,EEcrv,14.53,52.71,-24.65,46.44,-43.26
,EEqz,-88.79,-49.41,-9.75,-73.86,-31.00
,EEbkv,9.11,-74.24,-27.50,38.99,-47.47
,EEmpy,33.84,-55.33,-20.10,48.51,-40.35
