DD,EE,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCbt,AApqr_BBhpt_CCbt,AAgqt_BBnry_CCkrs,AAgqt_BBfnw_CCkrs
DDcjx,,-21.24,14.27,23.96,-6.30,-47.03
,  EEkqy,13.89,-81.68,96.04,-56.68,36.01
,  EEdhv,18.81,59.50,-22.55,-50.85,-90.54
,  EEbkv,-96.42,64.99,-1.61,88.62,-86.55
DDcy,,18.91,-32.23,-22.81,34.07,-4.64
,  EEbkv,11.70,42.25,-34.74,72.86,34.04
,  EEmz,27.83,-64.47,-6.31,-44.04,42.75
,  EEcrv,17.19,-74.47,-27.37,73.40,-90.70
DDmx,,14.72,9.44,12.17,30.51,36.53
,  EEbhk,19.93,63.23,-21.55,80.78,40.17
,  EEqz,14.49,-79.17,98.03,-54.72,34.43
,  EEmz,9.73,44.26,-39.96,65.48,34.98
