CC,DD,EE,FF,AAfnw_BBbgp,AAfnw_BBkrs,AApqr_BBnqx,AApqr_BBlt,AApqr_BBqz,AAcqx_BBgv,AAcqx_BBcjx,Minimum
CCkqy,DDmx,EEmz,FFgqt,68.66,23.47,12.35,97.17,59.70,89.42,43.42,12.35
,DDbsz,EEhpx,FFlmr,63.45,18.35,7.02,95.15,56.10,82.03,37.66,7.02
,DDcwz,EEmz,FFbpv,59.63,15.53,6.87,90.45,48.31,71.32,30.74,6.87
CCbt,DDmpy,EEmz,FFbpv,66.85,21.19,10.91,98.85,56.19,83.50,8.96,8.96
,DDmx,EEmz,FFgqt,60.37,12.01,2.66,89.10,43.13,69.52,23.79,2.66
,DDhpt,EEhpx,FFcmp,59.03,16.54,7.91,95.44,49.79,77.91,35.23,7.91
CCcy,DDbkv,EEhpx,FFlmr,59.89,14.57,4.74,91.01,46.34,61.25,25.93,4.74
,DDbmz,EEmz,FFgqt,60.26,14.66,6.31,95.49,53.32,78.81,36.61,6.31
,DDhlt,EEhpx,FFcmp,67.05,22.58,11.65,99.33,58.86,84.84,59.60,11.65
Minimum,,,,59.03,12.01,2.66,89.10,43.13,61.25,8.96,2.66
