DD,EE,AApqr_BBfnw_CCprw,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCgjm,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CClt,AAgqt_BBlmr_CCbmz,AAgqt_BBnqx_CCbpv
Maximum,,26.48,17.92,4.99,19.89,10.26,22.51,27.31,23.59
,  ,26.48,17.92,4.99,19.89,10.26,22.51,27.31,23.59
DDcjx,,26.48,17.92,4.45,19.89,8.91,7.71,27.31,23.59
,  EEkqy,25.67,14.98,2.46,5.22,8.91,7.71,27.31,20.22
,  EEdhv,26.48,17.92,4.45,19.89,6.93,1.67,4.73,23.59
DDcy,,25.04,16.21,4.99,19.70,10.26,22.51,22.33,22.98
,  EEcrv,5.33,16.21,4.99,19.70,10.26,22.51,12.32,22.98
,  EEbkv,25.04,13.77,1.10,17.31,7.92,0.56,22.33,13.63
DDmx,,24.04,15.45,2.68,14.73,5.61,21.63,26.58,21.26
,  EEqz,24.04,15.45,2.68,6.88,5.61,21.63,11.34,21.26
,  EEmz,23.32,12.63,0.39,14.73,4.34,19.79,26.58,17.63
