CC,DD,AAcy_BBhpt,AAcy_BBbkv,AAmz_BBbpv,AAmz_BBgqt,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp
CCbt,,71.53,22.68,48.36,13.17,0.43,37.80,88.69
,  DDbmz,80.52,30.36,71.37,22.52,8.63,45.62,96.35
,  DDmx,71.53,25.31,48.36,13.17,0.43,37.80,88.69
,  DDcwz,77.52,22.68,58.73,19.95,5.60,42.31,89.71
CChpx,,71.70,27.60,52.22,18.38,3.45,41.69,88.37
,  DDkrs,86.92,33.96,73.80,18.67,12.28,47.06,96.38
,  DDlmr,71.70,27.60,52.22,18.38,3.45,41.69,88.37
,  DDcmp,79.38,30.73,67.49,20.61,8.58,44.44,95.90
CCfnw,,71.58,25.13,49.20,13.02,0.50,40.62,88.67
,  DDqz,77.82,29.07,67.97,18.28,7.71,43.76,92.76
,  DDkrs,71.58,25.13,49.20,13.02,0.50,40.62,88.67
,  DDmx,84.43,30.58,72.78,22.66,9.51,41.09,95.22
