Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,512.59
AAdk,BBtw,CCst,DDnw,898.22
AAdk,BBtw,CChv,DDrz,643.36
AAdk,BBtw,CCst,DDcl,773.1
AAdk,BBtw,CChv,DDlp,518.6
AAdk,BBtw,CCst,DDnt,901.5
AAdk,BBrv,CChv,DDnt,918.42
AAdk,BBrv,CCst,DDnw,925.08
AAdk,BBrv,CChv,DDrz,926.18
AAdk,BBrv,CCst,DDcl,295.32
AAdk,BBrv,CChv,DDlp,680.66
AAdk,BBrv,CCst,DDnt,811.77
AAdk,BBmn,CChv,DDnt,693.23
AAdk,BBmn,CCst,DDnw,822.5
AAdk,BBmn,CChv,DDrz,311.07
AAdk,BBmn,CCst,DDcl,825.81
AAdk,BBmn,CChv,DDlp,580.66
AAdk,BBmn,CCst,DDnt,968.82
AAdk,BBtw,CChv,DDnt,330.13
AAdk,BBtw,CCst,DDnw,972.43
AAdk,BBtw,CChv,DDrz,726.83
AAdk,BBtw,CCst,DDcl,729.59
AAdk,BBtw,CChv,DDlp,474.51
AAdk,BBtw,CCst,DDnt,625.5
