CC,DD,AAmz_BBbpv,AAmz_BBgqt,AApqr_BBcjx,AApqr_BBnqx,AApqr_BBbgp,AAcy_BBhpt,AAcy_BBbkv
CCfnw,,68.04,30.67,56.57,8.81,92.52,79.36,41.88
,  DDkrs,68.04,30.67,56.57,8.81,92.52,79.36,41.88
,  DDqz,72.06,33.22,60.68,20.61,96.08,85.28,50.62
,  DDgv,74.51,36.54,64.94,26.62,99.34,85.36,55.47
CChpx,,69.06,30.51,58.56,9.29,93.91,81.22,44.68
,  DDcmp,73.09,30.51,62.43,22.93,97.77,86.57,51.35
,  DDlmr,69.06,30.71,58.56,9.29,93.91,81.22,44.68
,  DDmx,76.90,37.26,65.83,26.73,99.25,90.95,56.76
CCbt,,58.52,29.12,57.75,7.72,91.06,76.77,38.82
,  DDbmz,74.32,33.50,63.69,26.24,97.56,86.08,52.07
,  DDcwz,70.55,29.85,60.02,11.77,93.01,84.95,44.00
,  DDmx,58.52,29.12,57.75,7.72,91.06,76.77,38.82
