CC,DD,AAcy_BBhpt,AAcy_BBbkv,AAmz_BBgqt,AAmz_BBbpv,AApqr_BBcjx,AApqr_BBnqx,AApqr_BBbgp
CCfnw,,72.94,29.66,18.66,56.81,38.07,1.45,83.15
,  DDqz,75.42,34.66,22.53,63.73,45.39,4.14,94.40
,  DDkrs,72.94,29.66,18.66,56.81,38.07,1.45,83.15
,  DDmx,81.97,34.95,25.27,66.82,54.54,13.72,96.16
CChpx,,73.58,29.89,19.57,61.79,43.61,2.25,91.11
,  DDkrs,80.75,35.09,26.77,67.46,55.09,13.51,99.57
,  DDcmp,79.87,36.53,21.07,64.19,49.41,5.48,95.48
,  DDlmr,73.58,29.89,19.57,61.79,43.61,2.25,91.11
CCbt,,69.15,29.27,14.12,56.47,37.59,0.06,83.63
,  DDcwz,75.97,34.48,21.96,61.39,43.05,1.77,92.78
,  DDmx,69.15,29.27,14.12,56.47,37.59,0.06,83.63
,  DDbmz,80.46,36.68,24.99,64.64,53.70,2.64,95.11
Minimum,,69.15,29.27,14.12,56.47,37.59,0.06,83.15
,  ,69.15,29.27,14.12,56.47,37.59,0.06,83.15
