DD,EE,AApqr_BBnry_CCbpv,AApqr_BBnqx_CCbt,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCkrs,AAgqt_BBhpt_CCbt,AAgqt_BBfnw_CCkrs,Average
DDcy,,-45.45,15.05,84.06,-24.21,-52.77,50.89,4.60
,  EEkqy,-69.91,31.51,91.36,-8.68,-43.88,66.91,11.22
,  EEjvz,-81.13,17.65,89.19,-16.40,-46.36,61.63,4.10
,  EEcrv,-90.01,7.90,80.15,-32.74,-56.48,42.22,-8.16
,  EEbkv,98.11,2.94,75.32,-38.20,-64.78,35.07,18.08
,  EEmpy,-84.32,15.24,84.29,-25.01,-52.33,48.60,-2.25
DDcjx,,-82.43,16.12,86.43,-20.97,-51.55,54.83,0.40
,  EEkqy,-97.48,5.14,78.54,-33.96,-63.81,38.51,-12.18
,  EEqz,-66.48,32.23,94.84,-7.49,-42.31,66.79,12.93
,  EEhq,-84.21,16.19,86.78,-21.95,-51.53,57.20,0.41
,  EEmz,-74.42,17.23,91.49,-12.61,-45.20,65.20,6.95
,  EEdhv,-89.57,9.83,80.48,-28.82,-54.92,46.44,-6.09
DDmx,,-47.76,12.65,82.41,-26.09,-55.18,49.94,2.66
,  EEbhk,-86.57,14.68,82.34,-27.01,-53.39,47.18,-3.79
,  EEksy,-82.31,17.36,88.55,-18.51,-48.14,60.13,2.85
,  EEqz,-92.61,6.43,79.14,-32.86,-62.79,41.14,-10.26
,  EEbkv,-73.25,24.02,92.42,-9.71,-46.26,66.82,9.01
,  EEmz,95.95,0.74,69.60,-42.34,-65.31,34.41,15.51
Average,,-58.55,14.61,84.30,-23.75,-53.17,51.88,2.55
,  ,-58.55,14.61,84.30,-23.75,-53.17,51.88,2.55
