DD,EE,AAgqt_BBfnw_CClt,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCprw,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCgjm,AAhpx_BBlmr_CCbmz,AAhpx_BBlmr_CCcqx
DDcjx,EEdhv,23.76,14.88,4.91,4.97,25.78,6.38,13.46,23.99
,EEhq,4.76,17.44,11.18,8.47,27.80,20.45,14.10,25.20
,EEkqy,25.81,9.92,8.93,1.32,21.96,16.13,12.14,20.95
DDcy,EEcrv,23.97,13.69,9.31,2.43,24.16,6.04,12.54,15.19
,EEbkv,21.61,10.89,5.33,1.02,27.21,3.12,12.37,12.39
,EEmpy,24.07,16.01,4.35,6.75,5.40,7.81,14.71,23.70
DDmx,EEqz,22.92,8.66,9.90,2.75,21.83,18.61,0.17,21.66
,EEmz,1.90,9.30,7.09,0.99,27.90,15.84,3.49,17.16
,EEbhk,1.82,11.69,10.15,6.55,26.33,26.35,24.05,23.98
Maximum,,25.81,17.44,11.18,8.47,27.90,26.35,24.05,25.20
