AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,399.62
AAdk,BBtw,CChv,DDtv,EEmn,785.89
AAdk,BBtw,CChv,DDpw,EEfh,403.73
AAdk,BBtw,CChv,DDnt,EElp,275.18
AAdk,BBtw,CChv,DDtv,EEfx,277.7
AAdk,BBtw,CChv,DDpw,EEhr,790.58
AAdk,BBst,CChv,DDnt,EEdn,25.31
AAdk,BBst,CChv,DDtv,EEmn,161.13
AAdk,BBst,CChv,DDpw,EEfh,33.76
AAdk,BBst,CChv,DDnt,EElp,419.87
AAdk,BBst,CChv,DDtv,EEfx,422.5
AAdk,BBst,CChv,DDpw,EEhr,422.58
AAdk,BBrz,CChv,DDnt,EEdn,809.72
AAdk,BBrz,CChv,DDtv,EEmn,45.8
AAdk,BBrz,CChv,DDpw,EEfh,48.8
AAdk,BBrz,CChv,DDnt,EElp,574.71
AAdk,BBrz,CChv,DDtv,EEfx,319.43
AAdk,BBrz,CChv,DDpw,EEhr,84.81
AAdk,BBtw,CChv,DDnt,EEdn,479.93
AAdk,BBtw,CChv,DDtv,EEmn,735.98
AAdk,BBtw,CChv,DDpw,EEfh,485.61
AAdk,BBtw,CChv,DDnt,EElp,234.38
AAdk,BBtw,CChv,DDtv,EEfx,490.44
AAdk,BBtw,CChv,DDpw,EEhr,111.13
AAdk,BBst,CChv,DDnt,EEdn,244.89
AAdk,BBst,CChv,DDtv,EEmn,373.25
AAdk,BBst,CChv,DDpw,EEfh,886.5
AAdk,BBst,CChv,DDnt,EElp,503.6
AAdk,BBst,CChv,DDtv,EEfx,250.4
AAdk,BBst,CChv,DDpw,EEhr,638.26
