Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,643.66
AAdk,BBtw,CCst,DDnw,900.64
AAdk,BBtw,CChv,DDrz,270.44
AAdk,BBtw,CCst,DDcl,914.3
AAdk,BBtw,CChv,DDlp,19.53
AAdk,BBtw,CCst,DDnt,410.56
AAdk,BBrv,CChv,DDnt,158.76
AAdk,BBrv,CCst,DDnw,416.9
AAdk,BBrv,CChv,DDrz,298.86
AAdk,BBrv,CCst,DDcl,941.67
AAdk,BBrv,CChv,DDlp,429.03
AAdk,BBrv,CCst,DDnt,439.19
AAdk,BBmn,CChv,DDnt,695.96
AAdk,BBmn,CCst,DDnw,314.95
AAdk,BBmn,CChv,DDrz,833.23
AAdk,BBmn,CCst,DDcl,451.8
AAdk,BBmn,CChv,DDlp,840.28
AAdk,BBmn,CCst,DDnt,853.33
AAdk,BBtw,CChv,DDnt,602.51
AAdk,BBtw,CCst,DDnw,96.43
AAdk,BBtw,CChv,DDrz,225.0
AAdk,BBtw,CCst,DDcl,103.59
AAdk,BBtw,CChv,DDlp,755.38
AAdk,BBtw,CCst,DDnt,500.05
