CC,DD,AAfnw_BBkrs,AAfnw_BBqz,AApqr_BBcjx,AApqr_BBnqx,EE,FF
Minimum,,46.53,85.29,62.74,9.90,,
,  ,46.53,85.29,62.74,9.90,,
CCcy,,48.25,85.29,67.99,11.10,,
,  DDbmz,59.64,93.09,77.18,16.93,EEmz,FFgqt
,  DDbkv,48.25,85.29,67.99,11.10,EEmz,FFlmr
,  DDmx,62.42,97.12,80.82,20.64,EEmz,FFlmr
CCkqy,,55.11,89.64,71.74,13.83,,
,  DDcwz,55.11,89.64,71.74,13.83,EEmz,FFgqt
,  DDbsz,60.40,94.12,78.30,18.38,EEmz,FFlmr
,  DDbkv,62.29,98.39,83.99,42.49,EEmz,FFgqt
CCbt,,46.53,85.44,62.74,9.90,,
,  DDmpy,61.70,97.66,78.65,19.11,EEmz,FFgqt
,  DDhpt,57.22,90.41,73.55,15.18,EEmz,FFlmr
,  DDmx,46.53,85.44,62.74,9.90,EEmz,FFgqt
