DD,EE,AApqr_BBnry_CCbt,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCkrs,AAhpx_BBlsx_CCcqx,AAhpx_BBlmr_CCcqx
DDcy,EEmpy,-51.99,22.25,44.25,92.83,-16.15,-73.48
,EEbkv,-57.60,2.60,-90.98,-47.79,99.29,51.83
,EEjvz,-48.20,-97.59,-80.32,-32.87,-2.35,67.68
,EEcrv,-54.78,18.34,41.79,-42.57,-5.27,-74.62
DDmx,EEksy,-51.86,-98.16,-81.94,94.56,-5.57,63.31
,EEqz,-58.08,9.20,40.20,-47.26,-25.33,-77.18
,EEbhk,-53.41,21.56,43.66,90.04,-18.23,-79.90
,EEmz,70.72,1.06,35.33,-46.62,-29.25,-78.54
DDcjx,EEdhv,75.32,20.97,42.97,87.75,-23.55,-73.86
,EEhq,78.64,26.62,-82.01,-34.66,-7.66,59.36
,EEmz,-49.14,-94.53,49.08,-32.71,-1.85,69.62
,EEkqy,71.29,6.76,38.55,-53.55,-26.80,51.77
Average,,-10.76,-13.41,0.05,2.26,-5.23,-7.83
