CC,DD,AApqr_BBbpv,AApqr_BBbkv,AApqr_BBnqx,AAmz_BBgqt,AAmz_BBcjx
CCfnw,,-3.82,-28.20,-5.18,16.60,-10.47
,  DDknr,-13.49,70.00,-94.99,53.12,-42.60
,  DDgv,-22.72,-58.67,28.51,48.29,-41.78
,  DDkrs,46.53,-63.60,20.45,-79.27,87.65
,  DDqz,-25.59,-60.52,25.31,44.26,-45.14
CChpx,,-2.60,-42.42,-4.05,-20.70,-19.23
,  DDlmr,48.07,3.73,22.24,26.54,24.50
,  DDcmp,-24.27,-60.55,25.16,44.86,-50.79
,  DDqtw,-10.96,-57.20,35.75,-75.87,-9.46
,  DDdlz,-23.24,-55.68,-99.35,-78.33,-41.15
CCbt,,-6.58,-10.91,5.47,-49.99,-1.50
,  DDmx,43.06,3.54,-45.30,-80.88,-42.50
,  DDmpy,-18.09,74.07,33.21,-82.91,-40.80
,  DDbmz,-23.32,-60.75,26.48,48.64,86.83
,  DDcwz,-27.95,-60.51,7.50,-84.80,-9.53
