CC,DD,AAfnw_BBkrs,AAfnw_BBbgp,AApqr_BBqz,AApqr_BBnqx,AAcqx_BBgv,AAcqx_BBcjx,EE,FF
CCbt,,11.25,68.30,38.16,0.64,85.87,23.13,,
,  DDhpt,17.53,75.39,47.33,4.87,89.40,26.34,EEhpx,FFlmr
,  DDmx,11.25,68.30,38.16,0.64,85.87,23.13,EEmz,FFgqt
,  DDmpy,18.85,79.01,64.50,9.45,93.77,33.95,EEmz,FFgqt
CCkqy,,14.53,70.59,43.70,4.53,88.60,24.01,,
,  DDcwz,14.53,70.59,43.70,4.53,88.60,24.01,EEmz,FFgqt
,  DDbsz,19.73,79.98,51.29,9.64,92.99,27.97,EEhpx,FFlmr
,  DDbkv,19.40,83.55,66.20,8.05,93.32,35.71,EEmz,FFgqt
CCcy,,14.50,69.96,42.37,1.61,86.20,24.74,,
,  DDmx,21.18,83.91,65.02,9.99,94.10,33.59,EEhpx,FFlmr
,  DDbkv,14.50,69.96,42.37,1.61,86.20,24.74,EEhpx,FFlmr
,  DDbmz,18.10,79.34,49.75,8.23,90.82,26.19,EEmz,FFgqt
