CC,DD,AAmz_BBgqt,AAmz_BBcjx,AAmz_BBhpt,AApqr_BBbpv,AApqr_BBnqx,AApqr_BBbkv
CCbt,,43.28,28.74,-20.79,45.42,17.04,11.26
,  DDbmz,47.64,76.09,-14.95,95.69,29.86,-70.48
,  DDcwz,43.97,72.79,-19.94,-40.87,17.01,52.49
,  DDmx,38.24,-62.67,-27.49,81.45,4.26,51.78
CChpx,,1.90,76.36,-15.01,-36.75,23.85,58.30
,  DDcmp,42.34,77.79,-15.73,-33.71,26.22,57.69
,  DDlmr,42.77,70.03,-22.20,-45.82,8.81,53.19
,  DDmx,-79.42,81.25,-7.11,-30.73,36.52,64.03
CCfnw,,-42.55,-11.54,-19.77,4.20,-23.13,-30.56
,  DDqz,43.76,76.65,-18.68,-37.93,18.16,-73.33
,  DDgv,-81.92,-50.73,-14.18,-31.07,-95.28,-70.41
,  DDkrs,-89.50,-60.53,-26.45,81.59,7.74,52.07
