CC,DD,AApqr_BBlt,AApqr_BBnqx,AApqr_BBqz,AAfnw_BBkrs,AAfnw_BBbgp,AAfnw_BBknr,AAcqx_BBgv,AAcqx_BBcjx,EE,FF
CCbt,,76.99,5.51,38.85,15.29,53.57,86.37,61.38,24.77,,
,  DDmx,76.99,5.51,38.85,15.29,53.57,86.37,61.38,24.77,EEmz,FFgqt
,  DDbmz,83.00,11.85,45.85,20.43,58.78,91.80,68.94,35.83,EEmz,FFlmr
,  DDcwz,79.05,9.41,40.61,17.17,56.87,88.34,63.46,29.47,EEmz,FFbpv
CCcy,,77.73,8.08,39.68,16.30,55.80,87.39,59.56,28.95,,
,  DDmx,85.00,10.63,51.73,24.40,60.39,92.35,72.32,36.25,EEhpx,FFbpv
,  DDbkv,77.73,8.08,39.68,16.30,55.80,87.39,59.56,28.95,EEhpx,FFlmr
,  DDhpt,83.87,10.75,45.35,18.12,58.56,90.44,64.21,32.98,EEhpx,FFgqt
Minimum,,76.99,5.51,38.85,15.29,53.57,86.37,59.56,24.77,,
,  ,76.99,5.51,38.85,15.29,53.57,86.37,59.56,24.77,,
