AA,BB,CC,DD,EE,FF,Value
AA,BB,CC,DD,EE,FF,Value
AAdk,BBtw,CChv,DDnt,EEdn,FFrv,0.99
AAdk,BBtw,CCtv,DDmn,EEbx,FFrz,3.8
AAdk,BBtw,CChv,DDcl,EEdn,FFdl,67.36
AAdk,BBtw,CCtv,DDhz,EEbx,FFrv,39.4
AAst,BBnw,CChv,DDnt,EEdn,FFrv,8.64
AAst,BBnw,CCtv,DDmn,EEbx,FFrz,71.51
AAst,BBnw,CChv,DDcl,EEdn,FFdl,42.02
AAst,BBnw,CCtv,DDhz,EEbx,FFrv,42.62
AAdk,BBpw,CChv,DDnt,EEdn,FFrv,12.52
AAdk,BBpw,CCtv,DDmn,EEbx,FFrz,13.12
AAdk,BBpw,CChv,DDcl,EEdn,FFdl,82.56
AAdk,BBpw,CCtv,DDhz,EEbx,FFrv,23.58
AAst,BBlp,CChv,DDnt,EEdn,FFrv,30.68
AAst,BBlp,CCtv,DDmn,EEbx,FFrz,90.87
AAst,BBlp,CChv,DDcl,EEdn,FFdl,29.55
AAst,BBlp,CCtv,DDhz,EEbx,FFrv,30.44
