DD,EE,AAgqt_BBnry_CCbpv,AAgqt_BBfnw_CCkrs,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt
DDmx,,69.01,-35.83,47.36,22.77
,  EEksy,-9.45,-59.52,87.22,44.61
,  EEmz,91.21,52.61,-55.68,1.16
,  EEqz,95.19,-71.28,75.89,11.01
,  EEbhk,99.08,-65.12,82.00,34.31
DDcjx,,10.37,33.05,18.35,1.70
,  EEdhv,98.90,64.59,-47.76,-96.42
,  EEhq,-16.64,68.64,85.01,43.81
,  EEmz,-6.13,72.57,89.16,51.48
,  EEkqy,-34.67,-73.59,-53.01,7.95
DDcy,,-25.61,31.91,15.61,-34.33
,  EEcrv,-31.81,-65.90,75.17,27.37
,  EEmpy,-27.17,67.87,-45.29,-87.73
,  EEbkv,-36.29,54.97,73.52,6.12
,  EEjvz,-7.18,70.69,-40.96,-83.07
