CC,DD,AAfnw_BBqz,AAfnw_BBkrs,AApqr_BBcjx,AApqr_BBnqx,AApqr_BBbgp,EE,FF
CCcy,,65.09,32.24,50.11,7.01,82.24,,
,  DDhlt,71.93,43.55,61.63,27.61,98.26,EEmz,FFlmr
,  DDbkv,65.09,32.24,50.11,7.01,82.24,EEmz,FFlmr
,  DDbmz,66.69,38.30,56.81,20.10,92.00,EEmz,FFgqt
CCbt,,63.38,30.63,50.24,3.99,79.10,,
,  DDhpt,63.38,37.47,55.70,18.11,90.10,EEmz,FFlmr
,  DDmpy,70.47,42.43,60.36,20.32,96.58,EEmz,FFgqt
,  DDmx,64.17,30.63,50.24,3.99,79.10,EEmz,FFgqt
CCkqy,,64.32,34.29,54.28,14.08,89.04,,
,  DDcwz,64.32,34.29,54.28,14.08,89.04,EEmz,FFgqt
,  DDbsz,69.14,41.80,58.87,20.16,92.86,EEmz,FFlmr
,  DDhk,72.46,44.32,63.64,29.61,99.49,EEmz,FFgqt
