AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,644.85
AAdk,BBtw,CCst,DDnw,272.05
AAdk,BBtw,CCbx,DDrz,534.86
AAdk,BBtw,CChv,DDcl,407.51
AAdk,BBtw,CCst,DDlp,29.8
AAdk,BBtw,CCbx,DDcs,34.38
AAdk,BBtw,CChv,DDhm,35.03
AAdk,BBtw,CCst,DDdf,676.46
AAdk,BBtw,CCbx,DDnt,688.14
AAdk,BBrv,CChv,DDnt,437.39
AAdk,BBrv,CCst,DDnw,565.4
AAdk,BBrv,CCbx,DDrz,439.63
AAdk,BBrv,CChv,DDcl,697.34
AAdk,BBrv,CCst,DDlp,441.18
AAdk,BBrv,CCbx,DDcs,718.68
AAdk,BBrv,CChv,DDhm,590.1
AAdk,BBrv,CCst,DDdf,595.5
AAdk,BBrv,CCbx,DDnt,979.19
AAdk,BBtw,CChv,DDnt,83.24
AAdk,BBtw,CCst,DDnw,472.21
AAdk,BBtw,CCbx,DDrz,354.72
AAdk,BBtw,CChv,DDcl,744.28
AAdk,BBtw,CCst,DDlp,369.17
AAdk,BBtw,CCbx,DDcs,498.11
AAdk,BBtw,CChv,DDhm,883.89
AAdk,BBtw,CCst,DDdf,630.97
AAdk,BBtw,CCbx,DDnt,248.35
