CC,DD,AApqr_BBcjx,AApqr_BBbgp,AApqr_BBnqx,AAfnw_BBkrs,AAfnw_BBqz,Minimum,EE,FF
CCkqy,,45.02,80.39,5.71,21.23,67.82,5.71,,
,  DDbkv,62.15,98.20,16.82,31.67,74.49,16.82,EEmz,FFbpv
,  DDbsz,53.44,88.73,9.64,25.79,72.93,9.64,EEhpx,FFbpv
,  DDcwz,45.02,80.39,5.71,21.23,67.82,5.71,EEmz,FFbpv
CCbt,,40.62,76.30,0.34,17.34,62.55,0.34,,
,  DDmpy,60.00,90.04,9.52,27.65,73.55,9.52,EEmz,FFgqt
,  DDmx,40.62,76.30,0.34,17.34,62.55,0.34,EEmz,FFgqt
,  DDhpt,46.47,83.50,6.26,22.09,68.89,6.26,EEhpx,FFgqt
CCcy,,44.33,79.74,4.19,20.15,62.48,4.19,,
,  DDbkv,44.33,79.74,4.19,20.15,62.48,4.19,EEhpx,FFlmr
,  DDbmz,45.14,87.59,9.06,23.52,69.40,9.06,EEmz,FFlmr
,  DDmx,61.61,98.14,15.22,28.08,74.45,15.22,EEhpx,FFlmr
Minimum,,40.62,76.30,0.34,17.34,62.48,0.34,,
,  ,40.62,76.30,0.34,17.34,62.48,0.34,,
