DD,EE,AApqr_BBlmr_CCbt,AApqr_BBnqx_CCbt,AApqr_BBhpt_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCkrs,Average
DDcjx,,3.38,-5.95,41.78,-17.80,20.33,8.35
,  EEdhv,-62.42,10.64,99.34,-83.54,82.10,9.22
,  EEhq,69.83,18.75,-19.35,48.26,-41.81,15.14
,  EEkqy,2.72,-47.25,45.35,-18.12,20.70,0.68
DDmx,,42.80,11.47,-29.95,35.00,61.35,24.13
,  EEbhk,-0.21,14.92,-28.74,46.10,84.81,23.38
,  EEmz,64.30,11.32,-25.20,17.52,17.44,17.08
,  EEqz,64.30,8.16,-35.90,41.38,81.79,31.95
DDcy,,0.78,13.56,-4.08,-18.91,18.28,1.93
,  EEbkv,-64.25,15.76,42.89,-18.56,19.58,-0.92
,  EEcrv,-0.23,8.86,-32.69,43.48,-47.86,-5.69
,  EEmpy,66.83,16.05,-22.45,-81.65,83.13,12.38
Average,,15.65,6.36,2.58,-0.57,33.32,11.47
,  ,15.65,6.36,2.58,-0.57,33.32,11.47
