DD,EE,AAgqt_BBfnw_CCbpv,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCprw,AApqr_BBnqx_CCcqx,AApqr_BBnqx_CCbt,Maximum
DDmx,,27.06,15.75,17.03,20.17,3.36,27.06
,  EEqz,22.64,12.03,15.36,20.17,0.62,22.64
,  EEbhk,8.99,15.75,17.03,16.12,3.36,17.03
,  EEmz,27.06,9.55,0.12,18.85,0.85,27.06
DDcy,,26.73,16.79,19.84,25.18,7.14,26.73
,  EEcrv,26.73,13.47,15.17,16.81,4.31,26.73
,  EEbkv,21.30,9.84,12.25,16.87,0.26,21.30
,  EEmpy,9.04,16.79,19.84,25.18,7.14,25.18
DDcjx,,11.48,17.86,19.89,26.79,5.39,26.79
,  EEdhv,1.35,14.71,0.55,14.37,3.20,14.71
,  EEmz,11.48,17.86,19.89,26.79,5.39,26.79
,  EEkqy,5.57,11.19,12.54,20.37,2.65,20.37
