CC,DD,AAmz_BBgqt,AAmz_BBcjx,AApqr_BBnqx,AApqr_BBbkv,AApqr_BBbpv
Average,,-50.03,-30.26,4.95,-8.78,3.07
,  ,-50.03,-30.26,4.95,-8.78,3.07
CCbt,,-79.78,-10.17,21.81,-66.32,1.09
,  DDcwz,-81.45,73.38,17.24,-67.99,-23.19
,  DDbmz,-77.16,-48.69,25.78,-64.43,-14.99
,  DDmx,-80.73,-55.20,22.42,-66.53,41.44
CChpx,,-12.19,-28.35,-34.41,-22.00,5.77
,  DDlmr,-12.44,14.06,-35.95,63.52,46.88
,  DDdlz,54.88,-46.20,-94.20,-63.95,-10.87
,  DDcmp,-79.01,-52.90,26.92,-65.55,-18.70
CCfnw,,-58.14,-52.26,27.43,61.98,2.37
,  DDkrs,-14.89,-54.63,25.01,61.38,43.93
,  DDqz,-79.94,-54.19,25.77,58.59,-22.00
,  DDgv,-79.58,-47.95,31.52,65.99,-14.83
