CC,DD,AApqr_BBcjx,AApqr_BBnqx,AAmz_BBbpv,AAmz_BBgqt,AAcy_BBbkv,AAcy_BBhpt
CChpx,,17.60,19.26,88.31,-56.16,-41.99,-14.54
,  DDmx,70.41,25.11,93.31,-96.58,46.99,-3.49
,  DDcmp,-65.11,19.81,87.30,-97.77,-84.64,-12.57
,  DDlmr,47.50,12.85,84.31,25.87,-88.32,-27.55
CCbt,,-29.74,14.12,-0.77,27.96,42.63,21.20
,  DDmx,-78.42,5.59,77.67,25.22,35.84,98.26
,  DDbmz,64.23,19.62,-35.49,28.85,47.90,-10.15
,  DDcwz,-75.03,17.14,-44.50,29.82,44.15,-24.50
CCfnw,,-27.60,18.19,0.79,-13.27,-41.67,-16.59
,  DDqz,-74.69,18.19,-44.78,29.68,45.53,-15.56
,  DDkrs,-77.31,11.72,-46.90,25.97,-89.71,-28.30
,  DDgv,69.20,24.67,94.04,-95.45,-80.82,-5.90
