CC,DD,AAmz_BBcjx,AAmz_BBgqt,AAmz_BBhpt,AApqr_BBbpv,AApqr_BBbkv,AApqr_BBnqx
CCbt,DDmpy,-53.47,-87.91,-8.67,-40.47,56.04,26.26
,DDmx,62.47,-99.43,-43.87,-53.28,45.07,4.04
,DDbmz,-57.83,-90.56,-19.01,-43.19,-76.72,18.06
,DDcwz,-60.38,-98.82,-27.90,-47.22,49.34,11.97
CCfnw,DDgv,-56.77,38.38,-19.83,-43.23,52.05,21.48
,DDqz,-60.32,33.25,-22.79,-46.74,49.07,15.80
,DDkrs,-64.36,-1.90,-36.95,78.30,47.62,4.31
,DDknr,76.31,-86.91,-3.79,85.61,56.95,25.96
CChpx,DDcmp,69.41,33.41,-20.65,84.40,-81.83,17.79
,DDmx,-52.76,39.36,-1.57,-38.34,55.56,28.23
,DDdlz,-54.33,-88.10,-17.59,87.09,55.17,25.15
,DDlmr,-61.91,-97.99,-28.71,80.41,48.00,11.80
