CC,DD,AApqr_BBcjx,AApqr_BBbgp,AApqr_BBnqx,AAfnw_BBkrs,AAfnw_BBqz,EE,FF
CCbt,,39.74,74.25,0.13,21.68,48.37,,
,  DDmpy,45.14,89.98,14.97,36.18,64.77,EEmz,FFgqt
,  DDmx,39.74,74.25,0.13,21.68,48.37,EEmz,FFgqt
,  DDhpt,42.53,84.74,8.47,30.32,54.70,EEmz,FFgqt
CCkqy,,39.70,79.27,3.69,30.71,51.95,,
,  DDcwz,39.70,79.27,3.69,30.71,51.95,EEmz,FFgqt
,  DDbsz,44.04,87.52,13.50,35.91,58.65,EEmz,FFgqt
,  DDmx,47.20,96.64,17.58,38.39,71.94,EEmz,FFgqt
CCcy,,38.54,76.53,2.01,26.78,42.09,,
,  DDbkv,39.86,76.53,2.01,26.78,42.09,EEmz,FFgqt
,  DDbmz,39.09,85.77,11.30,33.16,56.95,EEmz,FFgqt
,  DDhlt,38.54,90.47,14.56,37.34,68.57,EEmz,FFgqt
