Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,899.02
AAdk,BBtw,CCst,DDnw,901.17
AAdk,BBtw,CCbx,DDrz,902.49
AAdk,BBtw,CChv,DDcl,396.76
AAdk,BBtw,CCst,DDlp,14.58
AAdk,BBtw,CCbx,DDcs,912.27
AAdk,BBtw,CChv,DDhm,786.97
AAdk,BBtw,CCst,DDdf,921.32
AAdk,BBtw,CCbx,DDnt,666.2
AAdk,BBrv,CChv,DDnt,43.91
AAdk,BBrv,CCst,DDnw,48.11
AAdk,BBrv,CCbx,DDrz,432.03
AAdk,BBrv,CChv,DDcl,436.48
AAdk,BBrv,CCst,DDlp,698.39
AAdk,BBrv,CCbx,DDcs,322.53
AAdk,BBrv,CChv,DDhm,194.17
AAdk,BBrv,CCst,DDdf,581.13
AAdk,BBrv,CCbx,DDnt,197.33
AAdk,BBtw,CChv,DDnt,329.34
AAdk,BBtw,CCst,DDnw,203.74
AAdk,BBtw,CCbx,DDrz,204.57
AAdk,BBtw,CChv,DDcl,471.7
AAdk,BBtw,CCst,DDlp,987.63
AAdk,BBtw,CCbx,DDcs,93.77
AAdk,BBtw,CChv,DDhm,487.83
AAdk,BBtw,CCst,DDdf,497.47
AAdk,BBtw,CCbx,DDnt,246.06
