DD,EE,AAgqt_BBnry_CCbt,AAgqt_BBfnw_CCkrs,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBhpt_CCkrs
Average,,-0.76,-28.36,-34.92,10.85,7.57
,  ,-0.76,-28.36,-34.92,10.85,7.57
DDcjx,,-12.26,-36.77,-38.73,7.99,-4.77
,  EEhq,-46.80,-83.17,-75.94,26.77,-23.64
,  EEdfk,85.57,-80.27,-65.44,30.42,-8.60
,  EEdhv,-54.93,36.82,57.83,18.22,-32.62
,  EEkqy,-32.88,-20.46,-71.35,-43.47,45.79
DDmx,,28.27,8.17,-42.22,4.04,35.19
,  EEqz,72.51,36.67,-73.11,15.03,94.32
,  EEksy,-45.68,45.98,-78.77,28.51,-21.48
,  EEmz,13.96,41.42,53.79,-46.34,-25.54
,  EEbhk,72.30,-91.40,-70.80,18.94,93.47
DDcy,,-18.30,-56.49,-23.82,20.53,-7.70
,  EEmpy,-50.68,-93.08,58.15,20.68,-24.66
,  EEcrv,73.59,-92.92,-78.26,16.52,-33.77
,  EEbkv,-50.69,-87.58,-8.42,15.52,43.59
,  EEjvz,-45.41,47.63,-66.75,29.40,-15.97
