DD,EE,AAhpx_BBnqx_CCcqx,AAhpx_BBfnw_CCbmz,AApqr_BBnqx_CCbt,AApqr_BBfnw_CCbpv,AAgqt_BBnqx_CCprw,AAgqt_BBfnw_CCkrs
Maximum,,26.35,21.90,8.61,27.88,17.92,16.64
,  ,26.35,21.90,8.61,27.88,17.92,16.64
DDmx,,21.89,21.90,5.16,26.97,16.28,9.44
,  EEbhk,21.39,21.90,5.16,25.10,16.28,8.98
,  EEqz,21.89,20.89,1.77,23.99,14.80,8.38
,  EEmz,18.13,17.17,0.99,26.97,13.60,9.44
DDcjx,,26.35,21.69,8.61,27.88,17.92,14.15
,  EEhq,26.35,21.04,8.61,13.00,17.92,9.84
,  EEdhv,23.56,21.69,5.65,26.01,14.13,14.15
,  EEkqy,20.49,20.72,0.98,27.88,4.92,11.44
DDcy,,24.68,21.61,6.39,27.78,17.61,16.64
,  EEmpy,24.68,21.61,6.39,12.07,17.61,16.64
,  EEbkv,18.52,5.87,1.09,27.78,13.01,10.28
,  EEcrv,22.11,21.09,3.63,22.58,14.51,10.91
