DD,EE,AAgqt_BBnry_CCbt,AAgqt_BBfnw_CCkrs,AApqr_BBhpt_CCkrs,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt,Average
DDcy,EEbkv,79.02,51.96,-31.20,70.38,16.46,37.32
,EEmpy,91.32,53.32,-26.02,72.15,22.61,42.68
,EEcrv,27.13,55.03,-18.43,-59.90,-40.77,-7.39
DDmx,EEqz,90.16,-9.77,-19.05,-55.96,-42.24,-7.37
,EEbhk,90.88,-77.28,-31.67,71.01,14.54,13.50
,EEmz,22.57,-77.82,40.88,5.80,15.85,1.46
DDcjx,EEhq,-36.18,54.15,96.62,-58.95,28.51,16.83
,EEkqy,24.86,53.42,-20.48,-58.25,-47.59,-9.61
,EEdhv,-19.07,-9.95,-18.27,81.28,25.51,11.90
Average,,41.19,10.34,-3.07,7.51,-0.79,11.03
