DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBlmr_CCbmz,AAgqt_BBnqx_CCbpv,AApqr_BBfnw_CCprw,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCgjm,Maximum
DDcjx,EEbkv,17.28,19.09,7.92,3.49,26.79,7.04,24.99,26.79
,EEkqy,11.47,12.72,25.02,9.35,20.31,2.86,20.16,25.02
,EEdhv,13.27,4.28,23.99,10.38,22.11,2.26,22.22,23.99
DDmx,EEmz,7.30,12.41,27.77,7.99,12.84,0.81,19.70,27.77
,EEbhk,15.49,18.23,5.07,11.12,24.64,0.32,0.41,24.64
,EEqz,12.53,13.85,25.80,9.33,21.64,3.26,20.60,25.80
DDcy,EEbkv,8.68,0.03,28.00,3.67,13.74,1.73,6.22,28.00
,EEmz,16.18,6.20,26.99,12.62,25.57,7.52,1.91,26.99
,EEcrv,10.96,0.88,23.50,10.90,22.02,4.44,21.70,23.50
Maximum,,17.28,19.09,28.00,12.62,26.79,7.52,24.99,28.00
