Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,784.29
AAdk,BBtw,CCst,DDnw,25.73
AAdk,BBtw,CChv,DDrz,34.71
AAdk,BBtw,CCst,DDcl,548.49
AAdk,BBtw,CChv,DDlp,554.75
AAdk,BBtw,CCst,DDnt,559.58
AAdk,BBrv,CChv,DDnt,817.48
AAdk,BBrv,CCst,DDnw,827.96
AAdk,BBrv,CChv,DDrz,59.02
AAdk,BBrv,CCst,DDcl,455.21
AAdk,BBrv,CChv,DDlp,593.05
AAdk,BBrv,CCst,DDnt,601.63
AAdk,BBmn,CChv,DDnt,475.68
AAdk,BBmn,CCst,DDnw,611.97
AAdk,BBmn,CChv,DDrz,614.65
AAdk,BBmn,CCst,DDcl,103.99
AAdk,BBmn,CChv,DDlp,230.4
AAdk,BBmn,CCst,DDnt,105.56
AAdk,BBtw,CChv,DDnt,111.19
AAdk,BBtw,CCst,DDnw,886.89
AAdk,BBtw,CChv,DDrz,759.62
AAdk,BBtw,CCst,DDcl,504.35
AAdk,BBtw,CChv,DDlp,251.35
AAdk,BBtw,CCst,DDnt,764.02
