DD,EE,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCgjm,AApqr_BBfnw_CCprw,AAgqt_BBlmr_CCbmz,AAgqt_BBnqx_CCbpv,AAgqt_BBfnw_CCkrs
DDmx,,14.83,4.24,6.37,27.41,11.76,22.38,8.20
,  EEcrv,9.39,4.24,6.37,26.38,0.71,22.38,7.49
,  EEkqy,14.83,2.32,0.64,27.41,11.76,20.86,8.20
,  EEmz,3.20,0.45,3.21,17.77,8.13,18.80,6.51
DDcy,,15.39,5.17,5.97,26.32,13.77,21.62,10.93
,  EEbkv,13.10,1.06,4.62,26.32,9.52,19.68,7.92
,  EEmz,15.39,5.17,3.89,7.07,13.77,21.25,10.93
,  EEqz,13.05,3.88,5.97,26.11,12.25,21.62,8.92
Maximum,,15.39,5.17,6.37,27.41,13.77,22.38,10.93
,  ,15.39,5.17,6.37,27.41,13.77,22.38,10.93
