DD,EE,AApqr_BBnqx_CCcqx,AApqr_BBnqx_CCprw,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCbpv,Maximum
DDmx,,27.99,19.88,9.20,18.92,22.92,27.99
,  EEqz,18.45,6.97,7.42,16.41,7.83,18.45
,  EEbhk,27.99,19.88,9.20,18.92,9.99,27.99
,  EEmz,17.01,11.27,1.25,13.25,22.92,22.92
DDcy,,27.91,21.06,7.41,20.49,24.96,27.91
,  EEcrv,23.40,19.34,7.36,17.72,8.72,23.40
,  EEmz,27.91,21.06,7.41,20.49,10.79,27.91
,  EEbkv,23.54,15.23,2.41,7.60,24.96,24.96
DDcjx,,27.81,23.32,12.32,21.61,24.46,27.81
,  EEkqy,20.83,16.11,6.14,13.67,24.46,24.46
,  EEbkv,27.81,23.32,12.32,21.61,10.71,27.81
,  EEdhv,27.43,19.94,9.98,18.76,9.48,27.43
Maximum,,27.99,23.32,12.32,21.61,24.96,27.99
,  ,27.99,23.32,12.32,21.61,24.96,27.99
