CC,DD,AApqr_BBcjx,AApqr_BBbgp,AApqr_BBnqx,AAfnw_BBqz,AAfnw_BBgv,AAfnw_BBkrs,EE,FF
CCbt,,28.66,69.66,13.35,46.91,81.55,18.14,,
,  DDcwz,33.53,77.17,18.18,57.90,84.99,24.38,EEmz,FFgqt
,  DDmx,28.66,69.66,13.35,46.91,81.55,21.52,EEmz,FFgqt
,  DDbmz,44.47,79.29,19.85,62.70,96.52,18.14,EEmz,FFgqt
CCcy,,29.57,71.88,15.93,55.04,83.31,23.75,,
,  DDhpt,37.08,77.58,19.54,58.58,94.77,25.62,EEmz,FFlmr
,  DDbkv,29.57,71.88,15.93,55.04,83.31,23.75,EEmz,FFlmr
,  DDbsz,45.13,80.12,20.83,63.76,99.22,27.54,EEmz,FFlmr
Minimum,,28.66,69.66,13.35,46.91,81.55,18.14,,
,  ,28.66,69.66,13.35,46.91,81.55,18.14,,
