CC,DD,AAdk_BBmn,AAdk_BBdl,AAdk_BBtw,AAdn_BBpw,AAdn_BBrv
Average,,8.25,-6.46,-22.14,18.44,-25.28
,  ,8.25,-6.46,-22.14,18.44,-25.28
CCbx,,-19.08,-17.62,-17.44,7.14,-38.13
,  DDnt,-56.59,-4.86,-94.40,-30.54,-70.87
,  DDrz,-67.33,-25.14,13.85,-41.36,-86.29
,  DDcs,66.68,-22.87,28.24,93.33,42.77
CCst,,22.20,-20.49,-22.83,47.82,-38.90
,  DDlp,65.04,-22.88,25.99,91.74,43.98
,  DDdf,71.69,-11.40,-94.20,-31.45,-72.24
,  DDnw,-70.12,-27.20,-0.28,83.16,-88.45
CChv,,21.62,18.73,-26.16,0.35,1.19
,  DDnt,59.82,97.48,0.57,75.17,37.05
,  DDcl,63.27,-25.64,16.38,-38.47,43.10
,  DDhm,-58.24,-15.64,-95.42,-35.64,-76.59
