CC,DD,AApqr_BBbkv,AApqr_BBnqx,AAmz_BBgqt,AAmz_BBcjx,Average
CChpx,,-2.60,28.41,-0.63,-17.59,1.90
,  DDcwz,-37.56,35.76,64.88,-1.64,15.36
,  DDcmp,-66.67,26.35,-88.62,-24.19,-38.28
,  DDmx,-46.59,32.16,-67.22,-13.70,-23.84
,  DDlmr,62.71,17.82,35.91,-29.51,21.73
,  DDdlz,75.09,29.97,51.88,-18.91,34.51
CCfnw,,49.56,-1.67,-3.39,6.12,12.65
,  DDkrs,64.94,14.54,-96.55,94.80,19.43
,  DDqz,-60.08,19.84,40.05,-24.10,-6.07
,  DDknr,79.24,-99.60,-70.00,-15.77,-26.53
,  DDlmr,89.15,30.07,63.11,-5.89,44.11
,  DDgv,74.53,26.78,46.45,-18.44,32.33
CCbt,,-5.68,22.91,-29.91,2.73,-2.49
,  DDkrs,86.74,30.60,-66.69,-10.00,10.16
,  DDcwz,68.34,18.11,39.50,-28.18,24.44
,  DDmpy,-54.47,30.91,56.65,-16.20,4.22
,  DDmx,-63.61,7.03,-92.86,92.81,-14.16
,  DDbmz,-65.38,27.89,-86.13,-24.79,-37.10
