Import-AApqr,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,517.07
AApqr,BBnqx,CCbt,DDcy,EEbkv,396.21
AApqr,BBnqx,CCbt,DDcjx,EEkqy,269.67
AApqr,BBnqx,CCbt,DDmx,EEqz,142.72
AApqr,BBnqx,CCbt,DDcy,EEcrv,660.53
AApqr,BBnqx,CCbt,DDcjx,EEdhv,793.64
AApqr,BBnqx,CCbt,DDmx,EEbhk,286.06
AApqr,BBnqx,CCbt,DDcy,EEmpy,670.5
AApqr,BBnqx,CCbt,DDcjx,EEmz,673.53
AApqr,BBfnw,CCbt,DDmx,EEmz,290.4
AApqr,BBfnw,CCbt,DDcy,EEbkv,420.39
AApqr,BBfnw,CCbt,DDcjx,EEkqy,550.99
AApqr,BBfnw,CCbt,DDmx,EEqz,937.24
AApqr,BBfnw,CCbt,DDcy,EEcrv,554.29
AApqr,BBfnw,CCbt,DDcjx,EEdhv,556.95
AApqr,BBfnw,CCbt,DDmx,EEbhk,433.23
AApqr,BBfnw,CCbt,DDcy,EEmpy,946.53
AApqr,BBfnw,CCbt,DDcjx,EEmz,820.66
AApqr,BBlmr,CCbt,DDmx,EEmz,311.6
AApqr,BBlmr,CCbt,DDcy,EEbkv,823.44
AApqr,BBlmr,CCbt,DDcjx,EEkqy,184.41
AApqr,BBlmr,CCbt,DDmx,EEqz,58.93
AApqr,BBlmr,CCbt,DDcy,EEcrv,697.03
AApqr,BBlmr,CCbt,DDcjx,EEdhv,60.22
AApqr,BBlmr,CCbt,DDmx,EEbhk,62.71
AApqr,BBlmr,CCbt,DDcy,EEmpy,328.1
AApqr,BBlmr,CCbt,DDcjx,EEmz,461.15
AApqr,BBnqx,CCbt,DDmx,EEmz,720.44
AApqr,BBnqx,CCbt,DDcy,EEbkv,337.42
AApqr,BBnqx,CCbt,DDcjx,EEkqy,981.54
AApqr,BBnqx,CCbt,DDmx,EEqz,861.1
AApqr,BBnqx,CCbt,DDcy,EEcrv,989.09
AApqr,BBnqx,CCbt,DDcjx,EEdhv,353.34
AApqr,BBnqx,CCbt,DDmx,EEbhk,354.17
AApqr,BBnqx,CCbt,DDcy,EEmpy,484.62
AApqr,BBnqx,CCbt,DDcjx,EEmz,359.49
AApqr,BBfnw,CCbt,DDmx,EEmz,231.39
AApqr,BBfnw,CCbt,DDcy,EEbkv,105.83
AApqr,BBfnw,CCbt,DDcjx,EEkqy,490.21
AApqr,BBfnw,CCbt,DDmx,EEqz,491.36
AApqr,BBfnw,CCbt,DDcy,EEcrv,364.15
AApqr,BBfnw,CCbt,DDcjx,EEdhv,493.2
AApqr,BBfnw,CCbt,DDmx,EEbhk,112.01
AApqr,BBfnw,CCbt,DDcy,EEmpy,118.13
AApqr,BBfnw,CCbt,DDcjx,EEmz,383.36
