DD,EE,AApqr_BBnqx_CCbt,AApqr_BBfnw_CCbpv,AAgqt_BBnqx_CCprw,AAgqt_BBfnw_CCkrs,AAhpx_BBnqx_CCcqx,AAhpx_BBfnw_CCbmz,Maximum
DDcy,EEmpy,7.17,26.86,13.22,11.95,25.99,21.24,26.86
,EEbkv,1.71,26.85,9.29,10.31,19.56,18.02,26.85
,EEcrv,3.89,25.50,1.11,10.11,22.33,20.57,25.50
DDcjx,EEkqy,2.19,24.58,0.95,8.10,17.03,5.20,24.58
,EEdhv,5.80,25.93,11.89,14.64,23.72,21.30,25.93
,EEmz,8.21,27.12,13.43,17.49,26.76,23.65,27.12
DDmx,EEbhk,6.31,6.15,12.97,15.45,22.14,21.68,22.14
,EEqz,2.42,25.62,10.93,9.30,21.44,19.57,25.62
,EEmz,0.20,26.33,8.84,8.13,18.10,5.31,26.33
Maximum,,8.21,27.12,13.43,17.49,26.76,23.65,27.12
