Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,931.8
AAdk,BBtw,CCst,DDnw,100.95
AAdk,BBtw,CChv,DDrz,933.75
AAdk,BBtw,CCst,DDcl,521.33
AAdk,BBtw,CChv,DDlp,493.68
AAdk,BBtw,CCst,DDnt,270.87
AAdk,BBrv,CChv,DDnt,655.1
AAdk,BBrv,CCst,DDnw,849.75
AAdk,BBrv,CChv,DDrz,689.39
AAdk,BBrv,CCst,DDcl,913.6
AAdk,BBrv,CChv,DDlp,115.22
AAdk,BBrv,CCst,DDnt,189.8
AAdk,BBtw,CChv,DDnt,277.07
AAdk,BBtw,CCst,DDnw,855.84
AAdk,BBtw,CChv,DDrz,184.18
AAdk,BBtw,CCst,DDcl,123.48
AAdk,BBtw,CChv,DDlp,189.3
AAdk,BBtw,CCst,DDnt,702.42
