DD,EE,AAgqt_BBnqx_CCprw,AAgqt_BBfnw_CCkrs,AAhpx_BBnqx_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBfnw_CCbpv
Maximum,,25.08,17.79,25.62,6.54,27.65
,  ,25.08,17.79,25.62,6.54,27.65
DDmx,,22.32,15.22,24.82,6.54,26.49
,  EEbhk,22.32,15.22,24.82,6.54,24.83
,  EEmz,9.51,3.64,9.92,0.43,25.38
,  EEqz,16.05,3.89,16.03,3.88,26.49
DDcjx,,25.08,17.79,24.95,5.67,26.60
,  EEdhv,4.26,13.50,23.38,5.67,24.69
,  EEkqy,0.12,11.22,20.30,2.67,25.52
,  EEmz,25.08,17.79,24.95,5.09,26.60
DDcy,,22.77,13.82,25.62,3.30,27.65
,  EEmpy,22.77,9.17,25.62,3.30,27.65
,  EEcrv,6.78,13.82,22.56,3.07,24.43
,  EEbkv,10.02,4.07,11.39,0.67,27.45
