CC,DD,AAcqx_BBgv,AAcqx_BBcjx,AAfnw_BBkrs,AAfnw_BBbgp,AApqr_BBqz,AApqr_BBnqx,EE,FF
Minimum,,87.02,32.00,19.92,63.97,50.30,1.62,,
,  ,87.02,32.00,19.92,63.97,50.30,1.62,,
CCkqy,,91.95,36.72,22.97,67.84,54.29,6.39,,
,  DDbsz,93.17,48.13,25.13,75.57,57.55,10.31,EEmz,FFlmr
,  DDbkv,96.69,51.48,31.68,86.83,62.65,19.39,EEmz,FFgqt
,  DDcwz,91.95,36.72,22.97,67.84,54.29,6.39,EEmz,FFgqt
CCcy,,89.38,34.48,19.92,64.81,50.41,4.69,,
,  DDbmz,92.44,44.17,19.92,73.35,51.03,10.24,EEmz,FFgqt
,  DDmx,96.88,49.55,21.90,83.10,59.24,16.21,EEmz,FFlmr
,  DDbkv,89.38,34.48,21.33,64.81,50.41,4.69,EEmz,FFlmr
CCbt,,87.02,32.00,20.68,63.97,50.30,1.62,,
,  DDmx,87.02,32.00,20.68,63.97,52.77,1.62,EEmz,FFgqt
,  DDhpt,91.54,41.14,21.06,71.27,50.30,6.93,EEmz,FFlmr
,  DDmpy,93.38,49.94,26.17,77.70,54.78,12.82,EEmz,FFgqt
