DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCkrs,AApqr_BBhpt_CCbt,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCbt,Average
DDmx,,-2.30,-2.06,20.22,11.66,42.04,13.91
,  EEmz,-90.69,14.55,34.98,7.08,-5.82,-7.98
,  EEksy,8.76,-44.97,-22.09,16.72,61.34,3.95
,  EEbhk,38.17,-52.64,-29.27,12.52,57.80,5.32
,  EEqz,34.56,74.83,97.25,10.31,54.84,54.36
DDcy,,-42.01,30.51,-10.47,13.69,10.39,0.42
,  EEjvz,-86.03,85.32,-22.76,17.51,62.12,11.23
,  EEcrv,-93.38,71.58,-30.50,10.50,-74.84,-23.33
,  EEmpy,38.38,-50.99,-29.17,14.68,58.71,6.32
,  EEbkv,-27.00,16.11,40.54,12.07,-4.41,7.46
DDcjx,,8.12,32.83,25.35,12.13,-20.50,11.59
,  EEdfk,43.16,86.78,-19.33,10.17,-65.32,11.09
,  EEdhv,-92.42,76.90,99.57,9.35,-73.98,3.88
,  EEhq,40.40,-46.01,-26.57,13.37,59.84,8.21
,  EEkqy,41.34,13.64,47.74,15.62,-2.54,23.16
