AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,255.05
AAdk,BBtw,CCst,DDnw,644.83
AAdk,BBtw,CCbx,DDrz,773.77
AAdk,BBtw,CChv,DDcl,276.55
AAdk,BBtw,CCst,DDlp,411.42
AAdk,BBtw,CCbx,DDcs,924.36
AAdk,BBtw,CChv,DDhm,28.77
AAdk,BBtw,CCst,DDnt,155.25
AAdk,BBtw,CCbx,DDnw,801.67
AAdk,BBrv,CChv,DDnt,162.87
AAdk,BBrv,CCst,DDnw,35.24
AAdk,BBrv,CCbx,DDrz,165.47
AAdk,BBrv,CChv,DDcl,679.47
AAdk,BBrv,CCst,DDlp,813.42
AAdk,BBrv,CCbx,DDcs,48.34
AAdk,BBrv,CChv,DDhm,51.98
AAdk,BBrv,CCst,DDnt,314.07
AAdk,BBrv,CCbx,DDnw,317.59
AAdk,BBmn,CChv,DDnt,575.9
AAdk,BBmn,CCst,DDnw,708.06
AAdk,BBmn,CCbx,DDrz,712.07
AAdk,BBmn,CChv,DDcl,210.01
AAdk,BBmn,CCst,DDlp,218.65
AAdk,BBmn,CCbx,DDcs,90.01
AAdk,BBmn,CChv,DDhm,602.1
AAdk,BBmn,CCst,DDnt,735.49
AAdk,BBmn,CCbx,DDnw,865.83
AAdk,BBtw,CChv,DDnt,353.01
AAdk,BBtw,CCst,DDnw,227.0
AAdk,BBtw,CCbx,DDrz,997.49
AAdk,BBtw,CChv,DDcl,750.37
AAdk,BBtw,CCst,DDlp,239.49
AAdk,BBtw,CCbx,DDcs,497.87
AAdk,BBtw,CChv,DDhm,372.81
AAdk,BBtw,CCst,DDnt,637.28
AAdk,BBtw,CCbx,DDnw,767.4
