Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,388.19
AAdk,BBtw,CCst,DDnw,269.77
AAdk,BBtw,CCbx,DDrz,271.04
AAdk,BBtw,CChv,DDcl,795.42
AAdk,BBtw,CCst,DDlp,798.8
AAdk,BBtw,CCbx,DDcs,800.06
AAdk,BBtw,CChv,DDhm,558.07
AAdk,BBtw,CCst,DDnt,308.42
AAdk,BBtw,CCbx,DDnw,53.87
AAdk,BBrv,CChv,DDnt,321.45
AAdk,BBrv,CCst,DDnw,193.53
AAdk,BBrv,CCbx,DDrz,70.24
AAdk,BBrv,CChv,DDcl,326.82
AAdk,BBrv,CCst,DDlp,847.96
AAdk,BBrv,CCbx,DDcs,976.8
AAdk,BBrv,CChv,DDhm,984.88
AAdk,BBrv,CCst,DDnt,351.5
AAdk,BBrv,CCbx,DDnw,352.91
AAdk,BBtw,CChv,DDnt,482.89
AAdk,BBtw,CCst,DDnw,614.65
AAdk,BBtw,CCbx,DDrz,103.65
AAdk,BBtw,CChv,DDcl,875.47
AAdk,BBtw,CCst,DDlp,621.17
AAdk,BBtw,CCbx,DDcs,114.74
AAdk,BBtw,CChv,DDhm,242.45
AAdk,BBtw,CCst,DDnt,757.53
AAdk,BBtw,CCbx,DDnw,126.75
