DD,EE,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCkrs
DDcy,,2.14,1.76,-2.12,3.07
,  EEkqy,38.90,-37.96,57.11,-8.23
,  EEjvz,-95.38,85.22,-75.41,-13.82
,  EEbkv,14.89,-62.81,41.43,91.47
,  EEcrv,20.03,-57.03,-84.13,-28.51
,  EEmpy,32.25,81.36,50.42,-25.54
DDcjx,,2.92,4.32,-0.93,-18.33
,  EEkqy,15.57,-59.17,-88.76,-33.46
,  EEqz,39.37,-36.42,63.92,-5.30
,  EEdhv,20.94,75.35,-83.56,-25.11
,  EEmz,34.34,-41.36,54.23,-10.87
,  EEhq,-95.63,83.22,49.51,-16.90
DDmx,,23.60,-0.14,47.07,2.75
,  EEqz,19.27,70.07,40.14,-29.30
,  EEksy,33.49,-44.45,50.11,-13.87
,  EEbhk,22.76,80.11,49.79,-25.56
,  EEmz,4.99,-65.62,40.01,91.64
,  EEbkv,37.50,-40.83,55.29,-9.18
