CC,DD,AAfnw_BBkrs,AAfnw_BBknr,AAfnw_BBbgp,AApqr_BBnqx,AApqr_BBlt,AApqr_BBqz,AAcqx_BBcjx,AAcqx_BBgv,EE,FF
CCcy,,11.05,86.09,53.82,1.44,65.67,40.65,25.00,60.97,,
,  DDbkv,11.05,86.09,53.82,1.44,65.67,40.65,25.00,60.97,EEmz,FFgqt
,  DDbmz,15.92,92.68,54.59,8.66,79.03,43.74,29.76,66.28,EEmz,FFgqt
,  DDmx,20.72,97.06,59.12,9.97,82.76,47.95,33.71,66.90,EEmz,FFgqt
CCkqy,,15.47,90.46,54.27,3.95,75.67,41.25,26.00,0.17,,
,  DDbkv,23.45,99.30,60.89,12.88,84.91,49.61,35.30,70.74,EEmz,FFgqt
,  DDbsz,18.90,95.65,58.82,8.06,80.42,42.23,29.20,66.38,EEmz,FFgqt
,  DDcwz,15.47,90.46,54.27,3.95,75.67,41.25,26.00,0.17,EEmz,FFgqt
CCbt,,10.71,86.96,52.70,1.00,71.53,39.57,24.17,61.32,,
,  DDmpy,18.24,96.80,58.40,8.10,81.63,45.32,29.65,68.20,EEmz,FFgqt
,  DDmx,10.71,86.96,52.70,1.00,71.53,39.57,24.17,61.32,EEmz,FFgqt
,  DDhpt,15.82,91.69,55.71,6.04,77.37,42.87,25.08,62.02,EEmz,FFgqt
