DD,EE,AApqr_BBnqx_CCbt,AApqr_BBhpt_CCbt,AApqr_BBlmr_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCkrs
DDcy,EEcrv,12.21,-31.40,-72.54,-87.68,70.84
,EEmpy,12.37,-19.56,-68.12,-83.39,-52.82
,EEjvz,23.87,-8.72,-63.87,-79.27,-9.03
,EEbkv,2.19,90.80,52.28,30.29,-60.58
DDmx,EEksy,14.66,-9.90,-69.75,-81.29,-46.36
,EEmz,0.33,-39.36,-79.35,29.40,65.31
,EEbhk,14.69,-30.42,60.93,43.66,-53.50
,EEqz,10.36,-34.47,55.58,-88.64,-57.16
DDcjx,EEhq,16.64,-19.26,60.72,-83.89,-51.38
,EEkqy,9.32,-37.66,-75.23,-89.61,70.24
,EEmz,28.48,-7.58,66.12,50.58,86.10
,EEdhv,13.40,-31.76,-69.33,43.93,73.57
Average,,13.21,-14.94,-16.88,-32.99,2.94
