CC,DD,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBnqx,AApqr_BBqz,AApqr_BBlt,AAfnw_BBbgp,AAfnw_BBkrs,AAfnw_BBknr,Minimum,EE,FF
CCbt,,24.20,67.41,2.67,41.35,81.26,54.27,14.36,90.21,2.67,,
,  DDhpt,27.94,68.78,5.07,44.57,85.73,57.61,16.77,90.21,5.07,EEmz,FFgqt
,  DDmx,24.20,67.41,2.67,41.35,81.26,54.27,14.36,93.46,2.67,EEmz,FFgqt
,  DDmpy,30.66,75.51,11.86,51.90,90.86,56.61,21.54,99.34,11.86,EEmz,FFgqt
CCkqy,,23.38,69.51,4.58,43.66,84.76,54.75,16.03,95.85,4.58,,
,  DDbkv,37.43,78.26,13.73,53.58,92.74,64.95,23.00,96.01,13.73,EEmz,FFgqt
,  DDbsz,23.38,74.82,9.76,47.78,88.23,59.77,19.76,98.39,9.76,EEmz,FFgqt
,  DDcwz,26.96,69.51,4.58,43.66,84.76,54.75,16.03,95.85,4.58,EEmz,FFgqt
CCcy,,24.84,68.48,3.33,41.84,81.23,54.95,14.21,90.69,3.33,,
,  DDbkv,25.00,68.48,3.47,41.84,81.23,55.80,14.21,90.69,3.47,EEmz,FFgqt
,  DDmx,32.11,75.14,11.90,52.24,91.98,62.93,22.82,99.08,11.90,EEmz,FFgqt
,  DDbmz,24.84,71.37,3.33,47.71,86.21,54.95,15.66,92.88,3.33,EEmz,FFgqt
Minimum,,23.38,67.41,2.67,41.35,81.23,54.27,14.21,90.21,2.67,,
,  ,23.38,67.41,2.67,41.35,81.23,54.27,14.21,90.21,2.67,,
