CC,DD,AApqr_BBbkv,AApqr_BBbpv,AApqr_BBnqx,AAmz_BBgqt,AAmz_BBcjx,Average
CCfnw,,26.79,-15.90,2.59,-17.39,69.18,13.05
,  DDqz,64.25,-23.04,22.83,-83.93,89.40,13.90
,  DDkrs,-59.25,-16.18,-45.66,-17.23,26.70,-22.32
,  DDgv,75.37,-8.48,30.61,48.97,91.44,47.58
CChpx,,19.57,-15.24,-37.95,-15.13,4.94,-8.76
,  DDlmr,40.70,-14.23,-38.38,-13.76,-36.92,-12.52
,  DDdlz,78.05,-7.86,-99.15,-77.00,90.05,-3.18
,  DDcmp,-60.04,-23.62,23.69,45.36,-38.32,-10.59
CCbt,,-16.08,-17.36,-0.27,23.55,88.80,15.73
,  DDmx,-59.61,-16.86,-46.98,-17.70,87.41,-10.75
,  DDbmz,75.65,-10.84,29.62,45.72,90.24,46.08
,  DDcwz,-64.28,-24.38,16.55,42.62,88.74,11.85
Average,,10.09,-16.17,-11.88,-2.99,54.30,6.67
,  ,10.09,-16.17,-11.88,-2.99,54.30,6.67
