CC,DD,EE,FF,AApqr_BBcjx,AApqr_BBnqx,AAfnw_BBqz,AAfnw_BBkrs,Minimum
CCcy,DDbkv,EEhpx,FFlmr,58.85,4.62,71.77,35.74,4.62
,DDbmz,EEmz,FFlmr,57.42,13.34,78.23,44.23,13.34
,DDmx,EEhpx,FFlmr,68.17,34.76,98.09,48.20,34.76
CCkqy,DDbkv,EEmz,FFbpv,70.53,35.86,99.74,53.20,35.86
,DDcwz,EEmz,FFbpv,57.98,4.49,75.44,37.86,4.49
,DDbsz,EEhpx,FFbpv,59.99,13.86,96.40,48.41,13.86
CCbt,DDmpy,EEmz,FFgqt,66.62,13.89,96.82,49.06,13.89
,DDhpt,EEhpx,FFgqt,60.61,6.14,78.69,36.14,6.14
,DDmx,EEmz,FFgqt,57.28,3.86,71.49,36.53,3.86
Minimum,,,,57.28,3.86,71.49,35.74,3.86
