DD,EE,AAgqt_BBnqx_CCprw,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBfnw_CCbpv,AAhpx_BBnqx_CCcqx,Maximum
DDcy,EEmz,2.16,9.14,3.57,8.35,24.15,24.15
,EEbkv,15.95,4.65,1.87,26.45,19.53,26.45
,EEcrv,0.57,12.03,2.72,26.79,22.70,26.79
DDcjx,EEdhv,21.21,14.03,2.28,26.10,21.96,26.10
,EEbkv,1.67,16.99,8.32,2.93,24.21,24.21
,EEkqy,5.19,11.60,1.25,5.58,4.33,11.60
DDmx,EEbhk,0.90,9.03,6.12,24.33,24.57,24.57
,EEmz,13.07,9.58,0.72,27.03,18.60,27.03
,EEqz,18.06,12.15,3.26,24.87,21.66,24.87
Maximum,,21.21,16.99,8.32,27.03,24.57,27.03
