CC,DD,AAmz_BBgqt,AAmz_BBbpv,AApqr_BBcjx,AApqr_BBnqx,AApqr_BBbgp,AAcy_BBhpt,AAcy_BBbkv
CCbt,,-1.63,37.02,-40.19,12.12,38.92,20.45,-49.41
,  DDqz,-90.07,70.71,-70.44,15.84,-21.38,83.49,-78.22
,  DDmx,19.62,62.00,-76.32,3.96,97.00,-48.86,-86.45
,  DDbmz,39.95,-52.65,60.88,17.04,-18.39,93.93,-77.89
,  DDlmr,23.99,68.03,-74.88,11.64,98.47,-46.77,44.91
CCfnw,,1.96,40.02,55.78,13.77,-19.46,22.02,-47.77
,  DDcmp,39.54,-54.19,58.35,16.19,-21.35,-39.60,51.97
,  DDkrs,22.73,65.98,52.11,5.45,-30.76,80.84,-85.88
,  DDmx,41.25,79.57,55.32,18.85,-2.62,-35.42,-75.55
,  DDcwz,-95.67,68.72,57.34,14.58,-23.10,82.24,-81.63
