CC,DD,EE,FF,AApqr_BBqz,AApqr_BBnqx,AAfnw_BBbgp,AAfnw_BBkrs,AAcqx_BBcjx,AAcqx_BBgv,Minimum
CCcy,DDbkv,EEmz,FFgqt,60.17,2.18,74.12,20.93,43.85,84.31,2.18
,DDbmz,EEmz,FFgqt,61.36,8.11,77.57,27.04,46.82,87.34,8.11
,DDmx,EEmz,FFgqt,69.51,13.58,80.15,34.76,0.04,96.30,0.04
CCkqy,DDbsz,EEmz,FFgqt,64.98,9.87,78.29,28.33,44.07,91.36,9.87
,DDbkv,EEmz,FFgqt,69.46,14.20,80.87,35.23,57.99,97.51,14.20
,DDcwz,EEmz,FFgqt,61.43,5.35,74.66,23.17,44.14,87.53,5.35
CCbt,DDhpt,EEmz,FFgqt,62.19,6.82,76.32,24.97,45.52,88.90,6.82
,DDmpy,EEmz,FFgqt,67.65,11.91,75.72,31.73,48.42,92.54,11.91
,DDmx,EEmz,FFgqt,58.98,1.08,70.62,19.12,41.65,77.43,1.08
Minimum,,,,58.98,1.08,70.62,19.12,0.04,77.43,0.04
