AA,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,224.13
AAdk,BBtw,CChv,DDtv,EEmn,385.26
AAdk,BBtw,CChv,DDpw,EEfh,387.61
AAdk,BBtw,CChv,DDpq,EElp,387.69
AAdk,BBtw,CChv,DDcs,EEdn,229.74
AAdk,BBtw,CChv,DDnt,EEdn,422.17
AAdk,BBtw,CChv,DDtv,EEmn,328.39
AAdk,BBtw,CChv,DDpw,EEfh,137.07
AAdk,BBtw,CChv,DDpq,EElp,494.82
AAdk,BBtw,CChv,DDcs,EEdn,434.6
AAdk,BBtw,CChv,DDnt,EEdn,405.95
AAdk,BBtw,CChv,DDtv,EEmn,344.14
AAdk,BBtw,CChv,DDpw,EEfh,58.77
AAdk,BBtw,CChv,DDpq,EElp,252.03
AAdk,BBtw,CChv,DDcs,EEdn,350.7
