DD,EE,AApqr_BBlmr_CCbt,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCkrs
DDmx,,15.60,28.88,60.28,-25.68
,  EEqz,77.05,22.10,57.47,-32.20
,  EEbhk,-46.43,38.87,63.27,-17.24
,  EEksy,-40.01,49.53,68.44,-15.92
,  EEmz,71.78,5.00,51.92,-37.34
DDcjx,,48.99,35.86,-1.77,-19.70
,  EEkqy,-54.41,9.15,56.27,-35.96
,  EEbkv,88.73,51.63,70.40,-9.28
,  EEhq,82.33,44.86,-61.76,-14.22
,  EEdhv,79.31,37.79,-71.99,-19.33
DDcy,,-15.77,-31.47,-35.12,-21.87
,  EEmpy,-46.74,43.06,-62.15,-15.00
,  EEbkv,-54.92,8.63,-74.13,-35.07
,  EEcrv,79.12,-97.94,-71.50,-26.19
,  EEmz,-40.55,-79.64,67.31,-11.22
Average,,16.27,11.09,7.80,-22.41
,  ,16.27,11.09,7.80,-22.41
