DD,EE,AAhpx_BBlmr_CCbt,AAhpx_BBlsx_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBnry_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt
DDcjx,,28.38,9.09,21.27,46.95,-19.31,28.35
,  EEqz,63.86,-2.97,35.68,85.33,52.99,97.43
,  EEdhv,-68.87,-34.63,20.02,77.80,43.09,-37.73
,  EEkqy,55.46,95.60,1.42,-57.29,-93.14,-40.89
,  EEmz,63.08,-21.62,27.97,81.97,-80.18,94.60
DDmx,,26.53,-23.34,-14.88,74.80,9.67,25.63
,  EEqz,57.52,-27.89,10.25,72.93,36.42,88.85
,  EEbkv,-64.75,-10.41,-95.94,83.43,-80.85,-33.40
,  EEbhk,60.24,-24.33,26.47,77.45,46.34,90.00
,  EEmz,53.10,-30.73,-0.31,65.39,36.76,-42.92
DDcy,,27.67,-23.19,18.27,12.53,-51.97,26.89
,  EEcrv,59.85,-26.56,10.50,-55.56,42.76,-38.60
,  EEmpy,-69.94,-22.62,27.72,81.28,-80.71,93.44
,  EEbkv,55.17,-35.19,1.87,-69.55,-91.74,87.89
,  EEkqy,65.60,-8.39,33.01,93.96,-78.21,-35.17
Average,,27.53,-12.48,8.22,44.76,-20.54,26.96
,  ,27.53,-12.48,8.22,44.76,-20.54,26.96
