CC,DD,AAcy_BBhpt,AAcy_BBbkv,AApqr_BBnqx,AApqr_BBcjx,AAmz_BBgqt,AAmz_BBbpv
CChpx,DDcmp,-26.08,-75.89,27.69,-66.64,-5.70,77.33
,DDlmr,-32.55,48.84,12.77,53.80,32.41,74.98
,DDkrs,-2.12,-69.52,-97.92,-62.15,43.78,88.76
,DDdlz,-9.17,-72.03,-98.31,-60.34,42.48,-48.50
CCbt,DDcwz,-30.97,-79.23,-73.23,63.30,-69.69,-53.48
,DDmpy,-5.41,-71.94,31.39,69.04,43.04,78.52
,DDmx,89.55,45.10,3.26,60.00,-95.92,-89.09
,DDbmz,-19.19,-74.99,27.95,-62.92,-91.23,-50.57
CCfnw,DDkrs,95.23,-86.53,10.50,55.30,33.87,-55.48
,DDqz,-28.19,-77.51,19.24,64.57,38.17,-52.05
,DDmx,-4.30,58.06,32.59,-58.96,-84.73,83.84
,DDgv,-16.44,-74.06,29.51,67.76,41.09,79.54
