DD,EE,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AAgqt_BBnry_CCbt,AAgqt_BBfnw_CCkrs
DDmx,EEksy,-46.61,29.43,-25.27,55.40
,EEbkv,-43.97,-95.87,-16.31,63.71
,EEbhk,77.23,25.10,-38.09,48.09
,EEmz,-60.27,1.37,86.07,-92.37
,EEqz,-54.81,16.88,-37.01,-91.28
DDcy,EEmpy,78.37,25.63,-31.46,50.82
,EEkqy,84.58,32.11,-9.07,-65.51
,EEcrv,73.99,18.21,92.62,46.02
,EEbkv,69.66,8.02,-42.65,-92.35
,EEjvz,83.25,29.32,-22.20,-72.90
DDcjx,EEdhv,-52.62,21.56,93.42,-80.62
,EEkqy,73.20,10.22,90.86,-91.38
,EEhq,-52.29,27.74,-26.74,-74.91
,EEmz,-44.61,-96.25,-19.83,62.65
,EEqz,87.17,36.08,-5.29,-60.63
Average,,18.15,5.97,5.94,-26.35
