Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,898.15
AAdk,BBtw,CChv,DDtv,EEmn,774.03
AAdk,BBtw,CChv,DDnt,EEfh,533.02
AAdk,BBtw,CChv,DDtv,EElp,28.64
AAdk,BBtw,CChv,DDnt,EEfx,412.3
AAdk,BBtw,CChv,DDtv,EEdn,30.97
AAdk,BBst,CChv,DDnt,EEdn,162.68
AAdk,BBst,CChv,DDtv,EEmn,424.91
AAdk,BBst,CChv,DDnt,EEfh,170.08
AAdk,BBst,CChv,DDtv,EElp,302.51
AAdk,BBst,CChv,DDnt,EEfx,949.88
AAdk,BBst,CChv,DDtv,EEdn,823.24
AAdk,BBtw,CChv,DDnt,EEdn,576.79
AAdk,BBtw,CChv,DDtv,EEmn,449.1
AAdk,BBtw,CChv,DDnt,EEfh,192.71
AAdk,BBtw,CChv,DDtv,EElp,67.17
AAdk,BBtw,CChv,DDnt,EEfx,717.07
AAdk,BBtw,CChv,DDtv,EEdn,723.79
AAdk,BBst,CChv,DDnt,EEdn,222.51
AAdk,BBst,CChv,DDtv,EEmn,867.7
AAdk,BBst,CChv,DDnt,EEfh,745.27
AAdk,BBst,CChv,DDtv,EElp,235.97
AAdk,BBst,CChv,DDnt,EEfx,370.75
AAdk,BBst,CChv,DDtv,EEdn,250.75
