CC,DD,AAmz_BBdhv,AAmz_BBbpv,AAmz_BBgqt,AAcy_BBhpt,AAcy_BBbkv,AApqr_BBbgp,AApqr_BBcjx,AApqr_BBnqx
CChpx,,-17.73,-88.22,28.77,-71.22,62.85,-47.85,50.78,7.03
,  DDcwz,-2.24,-81.85,40.16,-63.96,75.23,-39.54,-98.40,14.01
,  DDmx,-5.06,-84.98,32.87,-67.31,70.12,-41.34,98.47,10.43
,  DDcmp,-29.62,-91.25,24.51,-73.69,56.45,-52.64,86.87,3.31
,  DDdlz,-19.62,-87.39,26.21,-73.34,66.90,-46.59,87.72,6.62
,  DDlmr,-32.12,-95.64,20.09,-77.81,45.55,-59.14,79.26,0.80
CCfnw,,-20.15,-91.53,26.82,-72.22,59.62,-48.62,70.10,5.73
,  DDqz,-30.10,-92.48,21.45,-74.22,48.92,-52.72,86.55,4.64
,  DDknr,-11.31,-85.18,30.23,-68.80,70.56,-43.23,97.41,10.18
,  DDkrs,-34.53,-97.35,19.89,-78.51,43.29,-59.78,77.71,-0.49
,  DDgv,-21.52,-91.45,27.52,-73.41,62.14,-48.68,88.21,4.85
,  DDlmr,-3.28,-91.21,35.01,-66.14,73.18,-38.68,0.63,9.48
CCbt,,-22.87,-91.82,25.52,-73.61,57.39,-50.52,87.49,5.72
,  DDcwz,-30.18,-92.53,21.76,-77.84,48.80,-55.35,79.05,3.08
,  DDmx,-36.09,-97.90,15.18,-81.42,42.59,-62.34,76.69,0.52
,  DDkrs,-4.19,-84.87,33.49,-66.36,72.14,-39.36,98.09,12.69
,  DDmpy,-17.45,-91.76,30.34,-69.52,66.09,-45.46,96.35,5.88
,  DDbmz,-26.45,-92.04,26.82,-72.89,57.34,-50.07,87.26,6.41
